Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min),Distance (km),Travel Time (min)
1,Monday,07:46,48.0,18:08,36.3,71.15,614
2,Tuesday,08:00,48.00,18:11,38.45,58.24,600
3,Wednesday,08:10,48.0,17:53,35.9,73.75,618
4,Thursday,08:08,48.00,18:01,38.34,58.87,600
5,Friday,08:02,48.00,17:56,38.50,57.93,600
6,Saturday,No trips,32.0,,32.0,,
7,Sunday,No trips,32.0,,32.0,,
8,Monday,08:13,48.00,18:11,38.62,57.18,600
8,Monday,18:49,38.62,20:11,36.39,13.60,16
9,Tuesday,07:48,48.00,17:55,38.60,57.30,600
10,Wednesday,07:55,48.00,17:59,36.72,68.80,600
10,Wednesday,19:08,36.72,21:04,33.56,19.26,23
11,Thursday,08:14,48.00,17:47,36.68,69.05,600
12,Friday,07:53,48.0,17:53,35.0,79.54,614
13,Saturday,14:48,48.00,16:11,45.73,13.85,17
14,Sunday,No trips,32.0,,32.0,,
15,Monday,07:56,48.00,18:04,37.19,65.94,600
16,Tuesday,07:58,48.00,18:06,37.50,64.01,600
16,Tuesday,18:22,37.50,19:39,35.37,12.99,16
17,Wednesday,07:46,48.0,18:02,35.4,77.15,618
18,Thursday,07:53,48.0,18:02,34.6,81.74,617
19,Friday,08:06,48.0,18:02,34.5,82.51,622
20,Saturday,No trips,32.0,,32.0,,
21,Sunday,No trips,32.0,,32.0,,
22,Monday,08:05,48.00,18:13,37.94,61.34,600
23,Tuesday,07:46,48.0,17:58,35.6,75.56,617
24,Wednesday,07:46,48.00,17:48,38.41,58.47,600
25,Thursday,08:03,48.00,18:00,36.83,68.14,600
26,Friday,07:54,48.00,18:01,38.13,60.18,600
27,Saturday,No trips,32.0,,32.0,,
28,Sunday,No trips,32.0,,32.0,,
29,Monday,08:11,48.00,17:46,38.08,60.47,600
30,Tuesday,07:48,48.0,17:53,35.0,79.32,623
31,Wednesday,08:10,48.0,17:59,35.5,76.05,612
32,Thursday,08:14,48.00,17:53,37.95,61.30,600
33,Friday,08:14,48.00,17:58,37.54,63.76,600
34,Saturday,09:54,48.00,11:28,45.44,15.58,19
35,Sunday,No trips,32.0,,32.0,,
36,Monday,07:47,48.00,17:55,38.09,60.41,600
37,Tuesday,08:04,48.00,17:53,36.95,67.37,600
38,Wednesday,07:53,48.00,17:57,37.83,62.04,600
39,Thursday,08:05,48.00,18:06,38.01,60.91,600
40,Friday,08:06,48.0,17:55,35.4,77.08,618
41,Saturday,No trips,32.0,,32.0,,
42,Sunday,13:09,48.0,15:18,43.2,29.14,35
43,Monday,08:01,48.00,17:59,36.96,67.32,600
44,Tuesday,08:14,48.0,17:49,36.4,71.07,616
45,Wednesday,08:14,48.0,19:27,34.5,82.15,619
46,Thursday,08:01,48.00,17:58,36.73,68.72,600
47,Friday,07:56,48.0,18:01,35.9,73.72,613
